id,smiles,notes,params_json
1512,C1=CC(=C(N=C1)C2=NC3=C(N2)C=C(C=C3)C(=[NH2+])N)O,,
1513,C1=CC(=C(N=C1)C2=NC3=C(N2)C=C(C=C3)C(=N)N)O,,
49746,CCC1=CN=C(C=C1)C2=NC3=CC=CC=C3N2,,
49747,CCC1=NC(=CC=C1)C2=NC3=CC=CC=C3N2,,
49748,CC1=CC2=C(C=C1)N=C(N2)C3=CC=CC(=N3)C,,
49749,CC1=NC(=CC=C1)C2=NC3=C(N2)C=C(C=C3)OC,,
49750,CC1=NC(=CC=C1)C2=NC3=C(N2)C=C(C=C3)Cl,,
70821,C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=N3,,
96733,CC1=NC(=CC=C1)C2=NC3=CC=CC=C3N2,,
100489,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],,
186762,COC1=CC2=C(C=C1)N=C(N2)C3=CC=CC=N3,,
186763,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)Cl,,
192473,CN1C=CC=C2C1=C3NC4=NC(=NC5=NC(=NC6=NC(=NC2=N3)C7=C6C=CC=[N+]7C)C8=C5C=CC=[N+]8C)C9=C4C=CC=[N+]9C,,
314836,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC=CC=N3,,
330939,COC1=CC=CC2=C1N=C(N2)C3=CC=CC=N3,,
345772,CC1=CC2=C(C=C1)N=C(N2)C3=CC=CC=N3,,
345777,C1=CC=C2C(=C1)C=CC3=C2N=C(N3)C4=CC=CC=N4,,
358106,CN(C)CCNC(=O)C1=C2C(=CC=C1)NC(=N2)C3=CC=CC=N3.Cl,,
358107,CN(C)CCNC(=O)C1=C2C(=CC=C1)NC(=N2)C3=CC=CC=N3,,
359346,C1=CC=NC(=C1)C2=NC(=C(N2)[N+](=O)[O-])[N+](=O)[O-],,
384315,CC1=CC(=C(C=C1Cl)S)S(=O)(=O)NC2=NNC(=N2)C3=CC=CC=N3,,
384316,CC1=CC(=C(C=C1Cl)S)S(=O)(=O)NC2=NNC(=N2)C3=NC=C(C=C3)Cl,,
402406,C1=CC=C2C(=C1)NC(=N2)C3=NC(=C(C(=C3)C4=CC=C(C=C4)Cl)C#N)N,,
402407,CSC1=CC=C(C=C1)C2=CC(=NC(=C2C#N)N)C3=NC4=CC=CC=C4N3,,
430177,C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=N3.Cl[Pt]Cl,,
432747,C[Sn](C)(Cl)Cl.C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=N3,,
432748,CC[Sn](CC)(Cl)Cl.C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=N3,,
434103,C[Sn](C)(Br)Br.C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=N3,,
434104,CC[Sn](CC)(Br)Br.C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=N3,,
434109,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)(Br)Br.C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=N3,,
438431,C1=CC=NC(=C1)C2=NC(=NC(=N)C3=CC=CC=N3)C4C=CC=CC4=C2,,
463570,CCN1C2=C(C=CC=N2)C(=O)N(C3=C1N=C(C=C3)C4=NC=CN4)C,,
477664,C1=CN=C(C=C1SCCCC#N)C(=N)N,,
485801,C1=CC(=NC(=C1)C2=NC3=C(N2)C=C(C=C3)C(=N)N)C4=NC5=C(N4)C=C(C=C5)C(=N)N,,
485802,C1CN=C(N1)C2=CC3=C(C=C2)N=C(N3)C4=NC(=CC=C4)C5=NC6=C(N5)C=C(C=C6)C7=NCCN7,,
500927,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C(=CC3=O)NC4=CC=C(C=C4)F,,
500928,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C(=CC3=O)NC4=CC=C(C=C4)Cl,,
500929,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C(=CC3=O)NC4=CC=C(C=C4)Br,,
500930,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C(=CC3=O)NC4=CC=C(C=C4)I,,
500931,CC1=CC=C(C=C1)NC2=CC(=O)C3=C(C2=O)NC(=N3)C4=CC=CC=N4,,
500932,COC1=CC=C(C=C1)NC2=CC(=O)C3=C(C2=O)NC(=N3)C4=CC=CC=N4,,
500933,CCOC1=CC=C(C=C1)NC2=CC(=O)C3=C(C2=O)NC(=N3)C4=CC=CC=N4,,
500934,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C(=C(C3=O)NC4=CC=C(C=C4)F)Cl,,
500935,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C(=C(C3=O)NC4=CC=C(C=C4)Cl)Cl,,
500936,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C(=C(C3=O)NC4=CC=C(C=C4)Br)Cl,,
500937,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C(=C(C3=O)NC4=CC=C(C=C4)I)Cl,,
500938,CC1=CC=C(C=C1)NC2=C(C(=O)C3=C(C2=O)N=C(N3)C4=CC=CC=N4)Cl,,
500939,COC1=CC=C(C=C1)NC2=C(C(=O)C3=C(C2=O)N=C(N3)C4=CC=CC=N4)Cl,,
500940,CCOC1=CC=C(C=C1)NC2=C(C(=O)C3=C(C2=O)N=C(N3)C4=CC=CC=N4)Cl,,
500949,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C(=C(C3=O)Cl)Cl,,
500950,C1=CC=NC(=C1)C2=NC3=C(N2)C(=O)C=CC3=O,,
513895,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)C(=O)O,,
542828,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)N,,
556074,C1=CC=[N+](C(=C1)C(=N)N)[O-],,
556504,C1=CC=NC(=C1)C(=N)N,,
570917,C1=CC=NC(=C1)C(=N)N=NC=N,,
589313,C1=CC=NC(=C1)C2=NC=CN2,,
612611,CCOC1=C(N=CC(=C1)C(F)(F)F)C(=N)N,,
639432,CC1=CC(=NC=C1)C2=NC3=CC=CC=C3N2,,
646533,C1=CC=C2C(=C1)C=CC(=N2)C3=NC4=CC=CC=C4N3,,
651000,CC(=O)NC1=CC2=C(C=C1)N=C(N2)C3=CC=CC=N3,,
738986,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5N4,,
780175,C1=CC=C(C=C1)C(=O)C2=CC3=C(C=C2)N=C(N3)C4=NC5=CC=CC=C5C=C4,,
841361,C1=CC(=NC(=C1)C2=NC(=NN2)N)C3=NC(=NN3)N,,
